               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1203,            0.072173,            0.053831,          0.00053976,           0.0097389,          0.00028805,          5.8986e-05,             0.11158,            0.058445,            0.053197,              0.0775,              0.0025,              0.0025
                   1,             0.10669,            0.081685,            0.048917,             0.36367,            0.067208,            0.013117,           0.0031251,            0.099384,             0.07419,            0.045053,             0.05405,           0.0050495,           0.0050495
                   2,            0.096175,            0.077861,            0.042309,             0.38315,             0.16586,            0.049245,            0.011825,            0.095939,             0.05364,            0.040613,            0.030548,           0.0075475,           0.0075475
                   3,            0.093547,            0.069203,            0.037511,             0.42155,             0.14256,            0.074869,            0.021644,            0.097592,            0.057098,            0.035735,            0.009703,            0.009703,            0.009703
                   4,            0.090917,            0.069036,            0.031863,             0.43642,             0.23434,            0.086897,             0.02435,            0.094239,            0.064838,            0.030835,            0.009703,            0.009703,            0.009703
                   5,            0.083459,            0.067901,            0.027189,             0.50261,             0.33904,             0.19217,            0.065349,            0.083846,            0.057428,            0.024434,            0.009604,            0.009604,            0.009604
                   6,            0.081094,             0.06548,            0.022999,              0.5057,              0.3015,             0.15824,            0.050395,            0.078371,            0.055223,            0.018579,            0.009505,            0.009505,            0.009505
                   7,             0.07834,             0.06872,            0.021056,             0.59537,             0.38709,             0.30451,             0.11029,            0.070778,            0.049235,            0.014731,            0.009406,            0.009406,            0.009406
                   8,            0.073666,            0.068002,            0.019104,              0.6951,             0.41064,             0.38582,             0.13864,            0.066731,             0.05665,            0.015464,            0.009307,            0.009307,            0.009307
                   9,            0.072999,            0.064024,            0.016914,             0.71946,             0.40379,             0.38423,             0.12942,            0.067485,            0.048735,            0.012498,            0.009208,            0.009208,            0.009208
                  10,            0.073801,            0.065128,            0.017308,             0.78233,             0.43617,             0.48412,             0.20319,            0.063464,            0.050536,            0.011139,            0.009109,            0.009109,            0.009109
                  11,            0.069655,            0.064809,            0.013244,              0.7935,             0.45181,             0.49561,             0.20359,            0.065605,            0.049347,            0.013338,             0.00901,             0.00901,             0.00901
                  12,            0.070053,            0.061943,            0.012429,             0.66141,             0.45241,             0.41073,             0.15997,            0.065583,              0.0469,           0.0096806,            0.008911,            0.008911,            0.008911
